(41524,156.4)
(16775,267.20000000000005)
(93789,96.80000000000001)
(13772,141.6)
(13424,145.20000000000002)
(81298,234.6)
(73330,473.0)
(85678,273.0)
(64121,304.4)
(70850,175.4)
(79262,88.60000000000001)
(72977,122.20000000000002)
(65478,167.60000000000002)
(90201,139.4)
(5461,118.80000000000001)
(79932,30.400000000000002)
(64996,59.0)
(82385,95.4)
(84253,224.00000000000003)
(92441,244.4)
(16968,87.60000000000001)
(46363,145.0)
(74962,157.6)
(70966,240.8)
(75578,136.8)
(68679,70.80000000000001)
(83256,119.8)
(39019,124.20000000000002)
(752,123.0)
(26684,197.8)
(87421,143.2)
(61094,34.0)
(11286,80.4)
(27348,24.000000000000004)
(4620,128.60000000000002)
(6970,153.0)
(95895,86.4)
(56193,246.00000000000003)
(92935,48.6)
(49227,30.6)
(62934,101.79999999999998)
(77150,150.4)
(17130,165.0)
(56920,140.8)
(82996,207.0)
(77895,274.8)
(41957,191.79999999999998)
(60860,272.0)
(85360,194.40000000000003)
(10177,137.40000000000003)
(1571,294.2)
(59044,285.20000000000005)
(92407,24.0)
(15880,304.40000000000003)
(24464,107.00000000000001)
(534,186.40000000000003)
(44439,70.20000000000002)
(72212,186.8)
(31899,17.8)
(16159,199.60000000000002)
(14423,186.8)
(27946,236.40000000000003)
(42039,98.6)
(47586,59.800000000000004)
(53161,88.80000000000001)
(60455,199.39999999999998)
(38216,30.8)
(38768,243.0)
(53598,117.00000000000001)
(63522,172.8)
(92281,44.800000000000004)
(96935,233.8)
(68138,224.80000000000004)
(62097,137.4)
(72993,143.40000000000003)
(37527,206.40000000000003)
(62060,226.8)
(49461,26.800000000000004)
(94733,32.6)
(57035,96.0)
(26879,360.0)
(71147,263.8)
(9030,37.8)
(24435,295.59999999999997)
(90018,88.0)
(90702,162.20000000000002)
(14838,124.00000000000001)
(8219,210.40000000000003)
(21650,115.2)
(19828,372.20000000000005)
(136,368.79999999999995)
(90939,164.6)
(23388,11.4)
(39673,64.80000000000001)
(77682,95.19999999999999)
(93253,146.2)
(89243,124.4)
